id,name,start_date,end_date,replaces,replaced_by,cabinet,cabinetLabel
Q209439,Pehr Evind Svinhufvud,1917-11-27,1918-05-27,,Q202171,Q1888842,Pehr Evind Svinhufvud's first senate
Q202171,Juho Kusti Paasikivi,1918-05-27,1918-11-27,Q209439,Q440166,Q1291664,Juho Kusti Paasikivi's first senate
Q440166,Lauri Ingman,1918-11-27,1919-04-17,Q202171,Q471286,Q1628568,Lauri Ingman's first cabinet
Q471286,Kaarlo Castrén,1919-04-17,1919-08-15,Q440166,Q471237,Q1628905,Kaarlo Castrén Cabinet
Q471237,Juho Vennola,1919-08-15,1920-03-15,Q471286,Q959002,Q1629645,Juho Vennola's first cabinet
Q959002,Rafael Erich,1920-03-15,1921-04-09,Q471237,Q471237,Q1326909,Rafael Erich's cabinet
Q471237,Juho Vennola,1921-04-09,1922-06-02,Q959002,Q319444,Q1326348,Juho Vennola's second cabinet
Q319444,Aimo Cajander,1922-06-02,1922-11-14,Q471237,Q209441,Q4357129,Aimo Cajander's first cabinet
Q209441,Kyösti Kallio,1922-11-14,1924-01-18,Q319444,Q319444,Q6452994,Kyösti Kallio's first cabinet
Q319444,Aimo Cajander,1924-01-18,1924-05-31,Q209441,Q440166,Q4357154,Aimo Cajander's second cabinet
Q440166,Lauri Ingman,1924-05-31,1925-03-31,Q319444,Q609867,Q4357167,Lauri Ingman's second cabinet
Q609867,Antti Tulenheimo,1925-03-31,1925-12-31,Q440166,Q209441,Q4412223,Antti Tulenheimo's cabinet
Q209441,Kyösti Kallio,1925-12-31,1926-12-13,Q609867,Q116190,Q8095282,Kyösti Kallio's second cabinet
Q116190,Väinö Tanner,1926-12-13,1927-12-17,Q209441,Q548108,Q7944323,Väinö Tanner's cabinet
Q548108,Juho Sunila,1927-12-17,1928-12-22,Q116190,Q675250,Q6305146,Juho Sunila's first cabinet
Q675250,Oskari Mantere,1928-12-22,1929-08-16,Q548108,Q209441,Q4357539,Oskari Mantere's cabinet
Q209441,Kyösti Kallio,1929-08-16,1930-07-04,Q675250,Q209439,Q4357395,Kyösti Kallio's third cabinet
Q209439,Pehr Evind Svinhufvud,1930-07-04,1931-02-18,Q209441,Q548108,Q7160867,Pehr Evind Svinhufvud's second cabinet
Q548108,Juho Sunila,1931-03-21,1932-12-14,Q209439,Q455716,Q6305147,Juho Sunila's second cabinet
Q455716,Toivo Mikael Kivimäki,1932-12-15,1936-10-07,Q548108,Q209441,Q7813408,Toivo Mikael Kivimäki's cabinet
Q209441,Kyösti Kallio,1936-10-07,1937-02-17,Q455716,Q319444,Q4411956,Kyösti Kallio's fourth cabinet
Q319444,Aimo Cajander,1937-03-12,1939-12-01,Q209441,Q209435,Q4412225,Aimo Cajander's third cabinet
Q209435,Risto Ryti,1939-12-01,1940-12-19,Q319444,Q728861,Q4357416,Risto Ryti's first cabinet
Q728861,Johan Wilhelm Rangell,1941-01-03,1943-03-05,Q209435,Q383591,Q4410576,Johan Wilhelm Rangell's cabinet
Q383591,Edwin Linkomies,1943-03-05,1944-08-08,Q728861,Q609638,Q4357269,Edwin Linkomies' cabinet
Q609638,Antti Hackzell,1944-08-08,1944-09-21,Q383591,Q1371055,Q4357427,Antti Hackzell's cabinet
Q1371055,Urho Castrén,1944-09-21,1944-11-17,Q609638,Q202171,Q4357261,Urho Castrén's cabinet
Q202171,Juho Kusti Paasikivi,1944-11-17,1946-03-09,Q1371055,Q471245,Q1330769,Juho Kusti Paasikivi's second cabinet
